Date,Time,Temperature,Tair,Treflect
1:20:00 PM,0,20.5,21.134,21.22
1:20:00 PM,0.1,20.58,21.133,21.29
1:20:00 PM,0.2,20.53,21.132,21.24
1:20:00 PM,0.3,20.54,21.131,21.23
1:20:00 PM,0.4,20.58,21.131,21.25
1:20:00 PM,0.5,20.68,21.131,21.32
1:20:00 PM,0.6,20.69,21.131,21.31
1:20:00 PM,0.7,20.64,21.131,21.23
1:20:00 PM,0.8,20.67,21.129,21.26
1:20:00 PM,0.9,20.72,21.127,21.29
1:20:01 PM,1,20.74,21.125,21.28
1:20:01 PM,1.1,20.73,21.123,21.25
1:20:01 PM,1.2,20.74,21.123,21.23
1:20:01 PM,1.3,20.8,21.123,21.25
1:20:01 PM,1.4,20.85,21.123,21.3
1:20:01 PM,1.5,20.83,21.123,21.26
1:20:01 PM,1.6,20.86,21.124,21.28
1:20:01 PM,1.7,20.85,21.125,21.23
1:20:01 PM,1.8,20.95,21.126,21.32
1:20:01 PM,1.9,20.93,21.127,21.27
1:20:02 PM,2,20.94,21.126,21.26
1:20:02 PM,2.1,21,21.125,21.3
1:20:02 PM,2.2,21.07,21.124,21.35
1:20:02 PM,2.3,21.03,21.123,21.28
1:20:02 PM,2.4,21.03,21.125,21.28
1:20:02 PM,2.5,21.08,21.126,21.29
1:20:02 PM,2.6,21.07,21.128,21.27
1:20:02 PM,2.7,21.09,21.13,21.27
1:20:02 PM,2.8,21.12,21.129,21.28
1:20:02 PM,2.9,21.16,21.128,21.3
1:20:03 PM,3,21.17,21.127,21.29
1:20:03 PM,3.1,21.24,21.126,21.33
1:20:03 PM,3.2,21.28,21.13,21.37
1:20:03 PM,3.3,21.29,21.134,21.37
1:20:03 PM,3.4,21.27,21.137,21.32
1:20:03 PM,3.5,21.33,21.141,21.35
1:20:03 PM,3.6,21.4,21.14,21.39
1:20:03 PM,3.7,21.4,21.139,21.39
1:20:03 PM,3.8,21.4,21.138,21.37
1:20:03 PM,3.9,21.43,21.137,21.38
1:20:04 PM,4,21.44,21.138,21.38
1:20:04 PM,4.1,21.46,21.139,21.37
1:20:04 PM,4.2,21.48,21.14,21.38
1:20:04 PM,4.3,21.52,21.141,21.4
1:20:04 PM,4.4,21.54,21.145,21.4
1:20:04 PM,4.5,21.58,21.15,21.42
1:20:04 PM,4.6,21.61,21.154,21.44
1:20:04 PM,4.7,21.62,21.159,21.42
1:20:04 PM,4.8,21.68,21.157,21.47
1:20:04 PM,4.9,21.65,21.155,21.43
1:20:05 PM,5,21.65,21.153,21.42
1:20:05 PM,5.1,21.69,21.151,21.43
1:20:05 PM,5.2,21.69,21.155,21.42
1:20:05 PM,5.3,21.7,21.159,21.39
1:20:05 PM,5.4,21.73,21.162,21.42
1:20:05 PM,5.5,21.75,21.166,21.42
1:20:05 PM,5.6,21.75,21.166,21.4
1:20:05 PM,5.7,21.79,21.166,21.43
1:20:05 PM,5.8,21.77,21.166,21.41
1:20:05 PM,5.9,21.83,21.166,21.44
1:20:06 PM,6,21.86,21.167,21.45
1:20:06 PM,6.1,21.83,21.168,21.39
1:20:06 PM,6.2,21.8,21.169,21.36
1:20:06 PM,6.3,21.86,21.169,21.39
1:20:06 PM,6.4,21.87,21.17,21.41
1:20:06 PM,6.5,21.89,21.171,21.4
1:20:06 PM,6.6,21.92,21.172,21.42
1:20:06 PM,6.7,21.92,21.173,21.39
1:20:06 PM,6.8,21.96,21.175,21.43
1:20:06 PM,6.9,22.02,21.177,21.46
1:20:07 PM,7,22.01,21.178,21.44
1:20:07 PM,7.1,22.02,21.18,21.42
1:20:07 PM,7.2,22.05,21.18,21.44
1:20:07 PM,7.3,22,21.18,21.38
1:20:07 PM,7.4,22.06,21.18,21.42
1:20:07 PM,7.5,22.05,21.18,21.4
1:20:07 PM,7.6,22.09,21.181,21.42
1:20:07 PM,7.7,22.16,21.182,21.46
1:20:07 PM,7.8,22.16,21.183,21.46
1:20:07 PM,7.9,22.22,21.184,21.5
1:20:08 PM,8,22.25,21.184,21.53
1:20:08 PM,8.1,22.24,21.184,21.5
1:20:08 PM,8.2,22.26,21.183,21.5
1:20:08 PM,8.3,22.28,21.183,21.5
1:20:08 PM,8.4,22.27,21.186,21.49
1:20:08 PM,8.5,22.25,21.189,21.44
1:20:08 PM,8.6,22.28,21.192,21.46
1:20:08 PM,8.7,22.31,21.194,21.47
1:20:08 PM,8.8,22.37,21.194,21.52
1:20:08 PM,8.9,22.38,21.194,21.51
1:20:09 PM,9,22.36,21.194,21.48
1:20:09 PM,9.1,22.41,21.194,21.51
1:20:09 PM,9.2,22.48,21.192,21.58
