Date,Time,Temperature ,Tair ,Treflect
5:52:00 PM,0,19.06 ,20.608,20.10 
5:52:00 PM,0.1,19.16 ,20.606,20.20 
5:52:00 PM,0.2,19.17 ,20.604,20.24 
5:52:00 PM,0.3,19.19 ,20.603,20.26 
5:52:00 PM,0.4,19.23 ,20.602,20.26 
5:52:00 PM,0.5,19.18 ,20.601,20.22 
5:52:00 PM,0.6,19.21 ,20.6,20.27 
5:52:00 PM,0.7,19.22 ,20.601,20.26 
5:52:00 PM,0.8,19.23 ,20.602,20.29 
5:52:00 PM,0.9,19.18 ,20.603,20.24 
5:52:01 PM,1,19.18 ,20.604,20.22 
5:52:01 PM,1.1,19.20 ,20.605,20.23 
5:52:01 PM,1.2,19.19 ,20.606,20.25 
5:52:01 PM,1.3,19.18 ,20.607,20.25 
5:52:01 PM,1.4,19.16 ,20.608,20.20 
5:52:01 PM,1.5,19.17 ,20.609,20.19 
5:52:01 PM,1.6,19.15 ,20.611,20.18 
5:52:01 PM,1.7,19.14 ,20.613,20.18 
5:52:01 PM,1.8,19.17 ,20.615,20.21 
5:52:01 PM,1.9,19.18 ,20.617,20.22 
5:52:02 PM,2,19.17 ,20.619,20.20 
5:52:02 PM,2.1,19.15 ,20.62,20.19 
5:52:02 PM,2.2,19.19 ,20.622,20.23 
5:52:02 PM,2.3,19.23 ,20.622,20.24 
5:52:02 PM,2.4,19.30 ,20.622,20.29 
5:52:02 PM,2.5,19.28 ,20.622,20.24 
5:52:02 PM,2.6,19.29 ,20.622,20.26 
5:52:02 PM,2.7,19.37 ,20.621,20.30 
5:52:02 PM,2.8,19.36 ,20.62,20.27 
5:52:02 PM,2.9,19.39 ,20.619,20.27 
5:52:03 PM,3,19.38 ,20.619,20.27 
5:52:03 PM,3.1,19.43 ,20.619,20.29 
5:52:03 PM,3.2,19.48 ,20.62,20.32 
5:52:03 PM,3.3,19.47 ,20.621,20.29 
5:52:03 PM,3.4,19.48 ,20.622,20.28 
5:52:03 PM,3.5,19.52 ,20.621,20.31 
5:52:03 PM,3.6,19.54 ,20.62,20.28 
5:52:03 PM,3.7,19.63 ,20.619,20.34 
5:52:03 PM,3.8,19.63 ,20.618,20.35 
5:52:03 PM,3.9,19.64 ,20.619,20.34 
5:52:04 PM,4,19.69 ,20.62,20.37 
5:52:04 PM,4.1,19.71 ,20.621,20.36 
5:52:04 PM,4.2,19.75 ,20.622,20.40 
5:52:04 PM,4.3,19.75 ,20.622,20.35 
5:52:04 PM,4.4,19.81 ,20.622,20.38 
5:52:04 PM,4.5,19.82 ,20.622,20.36 
5:52:04 PM,4.6,19.83 ,20.622,20.38 
5:52:04 PM,4.7,19.92 ,20.624,20.43 
5:52:04 PM,4.8,19.90 ,20.626,20.41 
5:52:04 PM,4.9,19.93 ,20.627,20.37 
5:52:05 PM,5,19.98 ,20.629,20.45 
5:52:05 PM,5.1,19.98 ,20.628,20.42 
5:52:05 PM,5.2,20.04 ,20.627,20.43 
5:52:05 PM,5.3,19.99 ,20.627,20.39 
5:52:05 PM,5.4,20.02 ,20.626,20.40 
5:52:05 PM,5.5,20.04 ,20.627,20.39 
5:52:05 PM,5.6,20.15 ,20.627,20.47 
5:52:05 PM,5.7,20.09 ,20.628,20.40 
5:52:05 PM,5.8,20.07 ,20.629,20.38 
5:52:05 PM,5.9,20.08 ,20.629,20.36 
5:52:06 PM,6,20.11 ,20.629,20.38 
5:52:06 PM,6.1,20.20 ,20.629,20.40 
5:52:06 PM,6.2,20.17 ,20.629,20.39 
5:52:06 PM,6.3,20.25 ,20.631,20.45 
5:52:06 PM,6.4,20.26 ,20.633,20.43 
5:52:06 PM,6.5,20.28 ,20.635,20.40 
5:52:06 PM,6.6,20.28 ,20.637,20.43 
5:52:06 PM,6.7,20.25 ,20.637,20.38 
5:52:06 PM,6.8,20.28 ,20.638,20.37 
5:52:06 PM,6.9,20.30 ,20.639,20.40 
5:52:07 PM,7,20.38 ,20.64,20.47 
5:52:07 PM,7.1,20.40 ,20.639,20.46 
5:52:07 PM,7.2,20.47 ,20.638,20.49 
5:52:07 PM,7.3,20.45 ,20.637,20.45 
5:52:07 PM,7.4,20.46 ,20.637,20.46 
5:52:07 PM,7.5,20.46 ,20.637,20.43 
5:52:07 PM,7.6,20.43 ,20.638,20.41 
5:52:07 PM,7.7,20.52 ,20.639,20.44 
5:52:07 PM,7.8,20.51 ,20.64,20.45 
5:52:07 PM,7.9,20.56 ,20.64,20.45 
5:52:08 PM,8,20.64 ,20.64,20.52 
5:52:08 PM,8.1,20.60 ,20.64,20.48 
5:52:08 PM,8.2,20.65 ,20.64,20.53 
5:52:08 PM,8.3,20.59 ,20.642,20.46 
5:52:08 PM,8.4,20.61 ,20.644,20.44 
5:52:08 PM,8.5,20.69 ,20.646,20.48 
5:52:08 PM,8.6,20.71 ,20.647,20.50 
5:52:08 PM,8.7,20.67 ,20.647,20.44 
5:52:08 PM,8.8,20.66 ,20.647,20.42 
5:52:08 PM,8.9,20.70 ,20.647,20.47 
5:52:09 PM,9,20.75 ,20.647,20.45 
5:52:09 PM,9.1,20.76 ,20.649,20.50 
5:52:09 PM,9.2,20.77 ,20.651,20.47 
5:52:09 PM,9.3,20.78 ,20.653,20.43 
5:52:09 PM,9.4,20.81 ,20.655,20.46 
5:52:09 PM,9.5,20.81 ,20.654,20.46 
5:52:09 PM,9.6,20.83 ,20.653,20.46 
5:52:09 PM,9.7,20.87 ,20.652,20.49 
5:52:09 PM,9.8,20.93 ,20.651,20.49 
5:52:09 PM,9.9,20.91 ,20.653,20.51 
5:52:10 PM,10,20.92 ,20.655,20.50 
5:52:10 PM,10.1,20.98 ,20.657,20.51 
5:52:10 PM,10.2,20.98 ,20.658,20.50 
5:52:10 PM,10.3,20.98 ,20.66,20.53 
5:52:10 PM,10.4,20.98 ,20.662,20.53 
5:52:10 PM,10.5,21.01 ,20.664,20.53 
5:52:10 PM,10.6,21.01 ,20.666,20.51 
5:52:10 PM,10.7,21.07 ,20.666,20.51 
5:52:10 PM,10.8,21.07 ,20.666,20.53 
5:52:10 PM,10.9,21.11 ,20.666,20.57 
5:52:11 PM,11,21.13 ,20.666,20.57 
5:52:11 PM,11.1,21.13 ,20.668,20.54 
5:52:11 PM,11.2,21.16 ,20.671,20.52 
5:52:11 PM,11.3,21.16 ,20.674,20.54 
5:52:11 PM,11.4,21.19 ,20.677,20.54 
5:52:11 PM,11.5,21.19 ,20.676,20.54 
5:52:11 PM,11.6,21.20 ,20.675,20.55 
5:52:11 PM,11.7,21.25 ,20.674,20.57 
5:52:11 PM,11.8,21.29 ,20.673,20.57 
5:52:11 PM,11.9,21.29 ,20.673,20.59 
5:52:12 PM,12,21.32 ,20.673,20.63 
5:52:12 PM,12.1,21.33 ,20.673,20.64 
5:52:12 PM,12.2,21.32 ,20.673,20.55 
5:52:12 PM,12.3,21.31 ,20.674,20.55 
5:52:12 PM,12.4,21.30 ,20.675,20.53 
5:52:12 PM,12.5,21.34 ,20.676,20.57 
5:52:12 PM,12.6,21.32 ,20.677,20.55 
5:52:12 PM,12.7,21.33 ,20.678,20.53 
5:52:12 PM,12.8,21.39 ,20.68,20.59 
5:52:12 PM,12.9,21.38 ,20.682,20.57 
5:52:13 PM,13,21.45 ,20.684,20.60 
5:52:13 PM,13.1,21.45 ,20.684,20.61 
5:52:13 PM,13.2,21.51 ,20.684,20.66 
5:52:13 PM,13.3,21.51 ,20.684,20.64 
5:52:13 PM,13.4,21.52 ,20.684,20.62 
5:52:13 PM,13.5,21.51 ,20.685,20.61 
5:52:13 PM,13.6,21.52 ,20.686,20.62 
5:52:13 PM,13.7,21.55 ,20.687,20.63 
5:52:13 PM,13.8,21.59 ,20.688,20.63 
5:52:13 PM,13.9,21.62 ,20.686,20.67 
5:52:14 PM,14,21.60 ,20.684,20.64 
5:52:14 PM,14.1,21.57 ,20.682,20.60 
5:52:14 PM,14.2,21.59 ,20.68,20.59 
5:52:14 PM,14.3,21.60 ,20.681,20.58 
5:52:14 PM,14.4,21.64 ,20.682,20.64 
5:52:14 PM,14.5,21.69 ,20.683,20.66 
5:52:14 PM,14.6,21.68 ,20.684,20.60 
5:52:14 PM,14.7,21.62 ,20.683,20.57 
5:52:14 PM,14.8,21.62 ,20.682,20.56 
5:52:14 PM,14.9,21.67 ,20.681,20.60 
5:52:15 PM,15,21.65 ,20.68,20.57 
5:52:15 PM,15.1,21.65 ,20.68,20.56 
5:52:15 PM,15.2,21.67 ,20.68,20.60 
5:52:15 PM,15.3,21.76 ,20.68,20.61 
5:52:15 PM,15.4,21.75 ,20.68,20.62 
5:52:15 PM,15.5,21.77 ,20.683,20.62 
5:52:15 PM,15.6,21.77 ,20.686,20.60 
5:52:15 PM,15.7,21.81 ,20.689,20.61 
5:52:15 PM,15.8,21.81 ,20.691,20.63 
5:52:15 PM,15.9,21.83 ,20.692,20.63 
5:52:16 PM,16,21.85 ,20.693,20.65 
5:52:16 PM,16.1,21.86 ,20.694,20.66 
5:52:16 PM,16.2,21.87 ,20.695,20.61 
5:52:16 PM,16.3,21.87 ,20.691,20.64 
5:52:16 PM,16.4,21.92 ,20.687,20.64 
5:52:16 PM,16.5,21.92 ,20.684,20.68 
5:52:16 PM,16.6,21.91 ,20.68,20.65 
5:52:16 PM,16.7,21.92 ,20.68,20.64 
5:52:16 PM,16.8,21.96 ,20.68,20.66 
5:52:16 PM,16.9,22.01 ,20.68,20.71 
5:52:17 PM,17,21.99 ,20.68,20.66 
5:52:17 PM,17.1,22.01 ,20.683,20.69 
5:52:17 PM,17.2,22.04 ,20.686,20.69 
5:52:17 PM,17.3,22.02 ,20.688,20.68 
5:52:17 PM,17.4,22.05 ,20.691,20.71 
5:52:17 PM,17.5,22.10 ,20.691,20.72 
5:52:17 PM,17.6,22.07 ,20.691,20.70 
5:52:17 PM,17.7,22.07 ,20.691,20.70 
5:52:17 PM,17.8,22.07 ,20.691,20.70 
5:52:17 PM,17.9,22.07 ,20.691,20.70 
5:52:18 PM,18,22.07 ,20.691,20.70 
5:52:18 PM,18.1,22.07 ,20.691,20.70 
5:52:18 PM,18.2,22.07 ,20.691,20.70 
5:52:18 PM,18.3,22.07 ,20.694,20.70 
5:52:18 PM,18.4,22.07 ,20.697,20.70 
5:52:18 PM,18.5,22.07 ,20.699,20.70 
5:52:18 PM,18.6,22.07 ,20.702,20.70 
5:52:18 PM,18.7,22.07 ,20.703,20.70 
5:52:18 PM,18.8,22.07 ,20.704,20.70 
5:52:18 PM,18.9,22.07 ,20.705,20.70 
5:52:19 PM,19,22.26 ,20.706,20.74 
5:52:19 PM,19.1,22.28 ,20.709,20.74 
5:52:19 PM,19.2,22.26 ,20.711,20.72 
5:52:19 PM,19.3,22.34 ,20.714,20.74 
5:52:19 PM,19.4,22.33 ,20.717,20.77 
5:52:19 PM,19.5,22.32 ,20.717,20.74 
5:52:19 PM,19.6,22.34 ,20.717,20.75 
5:52:19 PM,19.7,22.33 ,20.717,20.76 
5:52:19 PM,19.8,22.34 ,20.717,20.74 
5:52:19 PM,19.9,22.36 ,20.716,20.74 
5:52:20 PM,20,22.42 ,20.715,20.78 
5:52:20 PM,20.1,22.42 ,20.714,20.76 
5:52:20 PM,20.2,22.43 ,20.713,20.77 
5:52:20 PM,20.3,22.45 ,20.714,20.78 
5:52:20 PM,20.4,22.42 ,20.715,20.79 
5:52:20 PM,20.5,22.47 ,20.716,20.79 
5:52:20 PM,20.6,22.48 ,20.717,20.79 
5:52:20 PM,20.7,22.45 ,20.719,20.79 
5:52:20 PM,20.8,22.43 ,20.72,20.75 
5:52:20 PM,20.9,22.46 ,20.722,20.79 
5:52:21 PM,21,22.51 ,20.724,20.80 
5:52:21 PM,21.1,22.47 ,20.726,20.80 
5:52:21 PM,21.2,22.48 ,20.728,20.77 
5:52:21 PM,21.3,22.52 ,20.73,20.76 
5:52:21 PM,21.4,22.54 ,20.731,20.80 
5:52:21 PM,21.5,22.54 ,20.733,20.79 
5:52:21 PM,21.6,22.55 ,20.735,20.78 
5:52:21 PM,21.7,22.59 ,20.737,20.80 
5:52:21 PM,21.8,22.56 ,20.739,20.79 
5:52:21 PM,21.9,22.56 ,20.737,20.77 
5:52:22 PM,22,22.55 ,20.735,20.76 
5:52:22 PM,22.1,22.59 ,20.733,20.81 
5:52:22 PM,22.2,22.60 ,20.731,20.78 
5:52:22 PM,22.3,22.58 ,20.731,20.78 
5:52:22 PM,22.4,22.62 ,20.731,20.79 
5:52:22 PM,22.5,22.61 ,20.731,20.78 
5:52:22 PM,22.6,22.63 ,20.731,20.75 
5:52:22 PM,22.7,22.66 ,20.734,20.83 
5:52:22 PM,22.8,22.71 ,20.737,20.85 
5:52:22 PM,22.9,22.72 ,20.74,20.84 
5:52:23 PM,23,22.78 ,20.743,20.87 
5:52:23 PM,23.1,22.76 ,20.741,20.89 
5:52:23 PM,23.2,22.75 ,20.739,20.87 
5:52:23 PM,23.3,22.75 ,20.737,20.88 
5:52:23 PM,23.4,22.78 ,20.735,20.89 
5:52:23 PM,23.5,22.77 ,20.734,20.86 
5:52:23 PM,23.6,22.82 ,20.733,20.91 
5:52:23 PM,23.7,22.82 ,20.732,20.91 
5:52:23 PM,23.8,22.84 ,20.731,20.90 
5:52:23 PM,23.9,22.82 ,20.734,20.87 
5:52:24 PM,24,22.86 ,20.737,20.93 
5:52:24 PM,24.1,22.84 ,20.74,20.90 
5:52:24 PM,24.2,22.87 ,20.743,20.89 
5:52:24 PM,24.3,22.93 ,20.744,20.95 
5:52:24 PM,24.4,22.91 ,20.746,20.94 
5:52:24 PM,24.5,22.98 ,20.748,20.97 
5:52:24 PM,24.6,22.95 ,20.75,20.97 
5:52:24 PM,24.7,22.96 ,20.751,20.95 
5:52:24 PM,24.8,22.95 ,20.752,20.92 
5:52:24 PM,24.9,22.97 ,20.753,20.93 
5:52:25 PM,25,22.98 ,20.754,20.95 
5:52:25 PM,25.1,23.00 ,20.753,20.95 
5:52:25 PM,25.2,22.97 ,20.752,20.93 
5:52:25 PM,25.3,22.99 ,20.751,20.94 
5:52:25 PM,25.4,22.98 ,20.75,20.93 
5:52:25 PM,25.5,23.00 ,20.75,20.95 
5:52:25 PM,25.6,23.03 ,20.75,20.97 
5:52:25 PM,25.7,23.07 ,20.75,20.98 
5:52:25 PM,25.8,23.04 ,20.75,20.96 
5:52:25 PM,25.9,23.05 ,20.75,20.94 
5:52:26 PM,26,23.04 ,20.75,20.92 
5:52:26 PM,26.1,23.08 ,20.75,20.98 
5:52:26 PM,26.2,23.09 ,20.75,20.95 
5:52:26 PM,26.3,23.07 ,20.749,20.92 
5:52:26 PM,26.4,23.12 ,20.748,20.96 
5:52:26 PM,26.5,23.11 ,20.747,20.93 
5:52:26 PM,26.6,23.13 ,20.746,20.97 
5:52:26 PM,26.7,23.10 ,20.748,20.92 
