Date,Time,Humidity,Temperature
2023-09-08,8:15:00 PM,72.4,22.65
2023-09-08,8:15:05 PM,72.3,22.65
2023-09-08,8:15:10 PM,72.3,22.65
2023-09-08,8:15:15 PM,72.1,22.7
2023-09-08,8:15:20 PM,72.1,22.7
2023-09-08,8:15:25 PM,72,22.7
2023-09-08,8:15:30 PM,71.9,22.7
2023-09-08,8:15:35 PM,71.8,22.7
2023-09-08,8:15:40 PM,71.8,22.75
2023-09-08,8:15:45 PM,71.8,22.7
2023-09-08,8:15:50 PM,71.7,22.7
2023-09-08,8:15:55 PM,71.6,22.7
2023-09-08,8:16:00 PM,71.6,22.7
2023-09-08,8:16:05 PM,71.6,22.7
2023-09-08,8:16:10 PM,71.5,22.75
2023-09-08,8:16:15 PM,71.5,22.7
2023-09-08,8:16:20 PM,71.5,22.7
2023-09-08,8:16:25 PM,71.5,22.7
2023-09-08,8:16:30 PM,71.5,22.7
2023-09-08,8:16:35 PM,71.5,22.7
2023-09-08,8:16:40 PM,71.5,22.7
2023-09-08,8:16:45 PM,71.5,22.7
2023-09-08,8:16:50 PM,71.5,22.7
2023-09-08,8:16:55 PM,71.5,22.7
2023-09-08,8:17:00 PM,71.5,22.7
2023-09-08,8:17:05 PM,71.6,22.7
2023-09-08,8:17:10 PM,71.6,22.7
2023-09-08,8:17:15 PM,71.6,22.65
2023-09-08,8:17:20 PM,71.6,22.65
2023-09-08,8:17:25 PM,71.6,22.65
2023-09-08,8:17:30 PM,71.7,22.65
2023-09-08,8:17:35 PM,71.7,22.65
2023-09-08,8:17:40 PM,71.7,22.65
2023-09-08,8:17:45 PM,71.8,22.6
2023-09-08,8:17:50 PM,71.8,22.65
2023-09-08,8:17:55 PM,71.8,22.65
2023-09-08,8:18:00 PM,71.8,22.6
2023-09-08,8:18:05 PM,71.8,22.65
2023-09-08,8:18:10 PM,71.9,22.6
2023-09-08,8:18:15 PM,71.9,22.65
2023-09-08,8:18:20 PM,72,22.6
2023-09-08,8:18:25 PM,72.1,22.6
2023-09-08,8:18:30 PM,72.1,22.65
2023-09-08,8:18:35 PM,72.2,22.6
2023-09-08,8:18:40 PM,72.3,22.65
2023-09-08,8:18:45 PM,72.2,22.65
2023-09-08,8:18:50 PM,72.3,22.65
2023-09-08,8:18:55 PM,72.2,22.65
2023-09-08,8:19:00 PM,72.2,22.65
2023-09-08,8:19:05 PM,72.1,22.7
2023-09-08,8:19:10 PM,72.1,22.65
2023-09-08,8:19:15 PM,72,22.7
2023-09-08,8:19:20 PM,72,22.7
2023-09-08,8:19:25 PM,71.9,22.7
2023-09-08,8:19:30 PM,71.9,22.7
2023-09-08,8:19:35 PM,71.9,22.65
2023-09-08,8:19:40 PM,71.9,22.7
2023-09-08,8:19:45 PM,71.9,22.65
2023-09-08,8:19:50 PM,71.8,22.65
2023-09-08,8:19:55 PM,71.8,22.7
2023-09-08,8:20:00 PM,71.8,22.65
2023-09-08,8:20:05 PM,71.8,22.7
2023-09-08,8:20:10 PM,71.8,22.7
2023-09-08,8:20:15 PM,71.7,22.7
2023-09-08,8:20:20 PM,71.7,22.65
2023-09-08,8:20:25 PM,71.7,22.65
2023-09-08,8:20:30 PM,71.7,22.7
2023-09-08,8:20:35 PM,71.7,22.65
2023-09-08,8:20:40 PM,71.7,22.7
2023-09-08,8:20:45 PM,71.6,22.65
2023-09-08,8:20:50 PM,71.6,22.65
2023-09-08,8:20:55 PM,71.6,22.7
2023-09-08,8:21:00 PM,71.6,22.7
2023-09-08,8:21:05 PM,71.6,22.65
2023-09-08,8:21:10 PM,71.6,22.7
2023-09-08,8:21:15 PM,71.6,22.65
2023-09-08,8:21:20 PM,71.6,22.65
2023-09-08,8:21:25 PM,71.6,22.65
2023-09-08,8:21:30 PM,71.6,22.65
2023-09-08,8:21:35 PM,71.6,22.65
2023-09-08,8:21:40 PM,71.6,22.65
2023-09-08,8:21:45 PM,71.6,22.65
2023-09-08,8:21:50 PM,71.6,22.65
2023-09-08,8:21:55 PM,71.7,22.65
2023-09-08,8:22:00 PM,71.7,22.65
2023-09-08,8:22:05 PM,71.7,22.65
2023-09-08,8:22:10 PM,71.7,22.6
2023-09-08,8:22:15 PM,71.8,22.6
2023-09-08,8:22:20 PM,71.8,22.6
