Date,Time,Humidity,Temperature
2022-12-21,1:20:00 PM,44,20.7
2022-12-21,1:20:05 PM,44,20.7
2022-12-21,1:20:10 PM,44,20.7
2022-12-21,1:20:15 PM,44,20.7
2022-12-21,1:20:20 PM,44,20.7
2022-12-21,1:20:25 PM,44,20.7
2022-12-21,1:20:30 PM,44,20.7
2022-12-21,1:20:35 PM,44,20.7
2022-12-21,1:20:40 PM,44,20.7
2022-12-21,1:20:45 PM,44,20.7
2022-12-21,1:20:50 PM,44,20.7
2022-12-21,1:20:55 PM,44,20.7
2022-12-21,1:21:00 PM,44,20.7
2022-12-21,1:21:05 PM,44,20.65
2022-12-21,1:21:10 PM,43.9,20.7
2022-12-21,1:21:15 PM,43.9,20.65
2022-12-21,1:21:20 PM,43.9,20.65
2022-12-21,1:21:25 PM,43.9,20.65
2022-12-21,1:21:30 PM,43.9,20.7
2022-12-21,1:21:35 PM,43.9,20.65
2022-12-21,1:21:40 PM,43.9,20.65
2022-12-21,1:21:45 PM,43.9,20.65
2022-12-21,1:21:50 PM,43.9,20.65
2022-12-21,1:21:55 PM,43.9,20.6
2022-12-21,1:22:00 PM,43.9,20.65
2022-12-21,1:22:05 PM,43.9,20.6
2022-12-21,1:22:10 PM,43.9,20.6
2022-12-21,1:22:15 PM,43.9,20.65
2022-12-21,1:22:20 PM,43.9,20.6
2022-12-21,1:22:25 PM,43.9,20.6
2022-12-21,1:22:30 PM,43.9,20.6
2022-12-21,1:22:35 PM,43.9,20.6
2022-12-21,1:22:40 PM,43.9,20.6
2022-12-21,1:22:45 PM,43.9,20.6
2022-12-21,1:22:50 PM,43.9,20.6
2022-12-21,1:22:55 PM,43.9,20.6
2022-12-21,1:23:00 PM,43.9,20.6
2022-12-21,1:23:05 PM,43.9,20.6
2022-12-21,1:23:10 PM,43.9,20.6
2022-12-21,1:23:15 PM,43.9,20.6
2022-12-21,1:23:20 PM,43.9,20.6
2022-12-21,1:23:25 PM,43.9,20.6
2022-12-21,1:23:30 PM,43.9,20.6
2022-12-21,1:23:35 PM,43.9,20.6
2022-12-21,1:23:40 PM,43.9,20.6
2022-12-21,1:23:45 PM,43.8,20.6
2022-12-21,1:23:50 PM,43.8,20.6
2022-12-21,1:23:55 PM,43.8,20.6
