0,63.6,,Time,Treflect
5,63.7,,0,20.51
10,63.7,,0.1,20.57
15,63.7,,0.2,20.58
20,63.8,,0.3,20.57
25,63.8,,0.4,20.59
30,63.8,,0.5,20.58
35,63.8,,0.6,20.59
40,63.7,,0.7,20.56
45,63.7,,0.8,20.6
50,63.7,,0.9,20.6
55,63.6,,1,20.59
60,63.6,,1.1,20.63
65,63.6,,1.2,20.65
70,63.6,,1.3,20.69
75,63.6,,1.4,20.67
80,63.5,,1.5,20.71
85,63.5,,1.6,20.69
90,63.5,,1.7,20.7
95,63.5,,1.8,20.69
100,63.4,,1.9,20.74
105,63.4,,2,20.72
110,63.4,,2.1,20.77
115,63.4,,2.2,20.75
120,63.4,,2.3,20.74
125,63.3,,2.4,20.69
130,63.3,,2.5,20.67
135,63.4,,2.6,20.79
140,63.3,,2.7,20.75
145,63.3,,2.8,20.74
150,63.3,,2.9,20.72
155,63.3,,3,20.72
160,63.3,,3.1,20.79
165,63.3,,3.2,20.76
170,63.3,,3.3,20.78
175,63.2,,3.4,20.74
180,63.2,,3.5,20.76
185,63.2,,3.6,20.72
190,63.2,,3.7,20.77
195,63.2,,3.8,20.76
200,63.2,,3.9,20.79
205,63.1,,4,20.76
210,63.1,,4.1,20.76
215,63.1,,4.2,20.77
220,63.1,,4.3,20.83
225,63.1,,4.4,20.78
230,63.1,,4.5,20.82
235,63.1,,4.6,20.78
240,63.1,,4.7,20.83
245,63.2,,4.8,20.8
250,63.2,,4.9,20.82
255,63.2,,5,20.82
260,63.2,,5.1,20.88
265,63.2,,5.2,20.86
270,63.2,,5.3,20.85
275,63.2,,5.4,20.86
280,63.2,,5.5,20.85
285,63.2,,5.6,20.87
290,63.2,,5.7,20.84
295,63.1,,5.8,20.83
300,63.1,,5.9,20.82
305,63.1,,6,20.84
310,63.1,,6.1,20.9
315,63,,6.2,20.86
320,63,,6.3,20.84
325,63,,6.4,20.86
330,62.9,,6.5,20.85
335,62.9,,6.6,20.86
340,62.8,,6.7,20.84
345,62.8,,6.8,20.87
350,62.8,,6.9,20.87
355,62.7,,7,20.85
360,62.7,,7.1,20.81
365,62.7,,7.2,20.8
370,62.7,,7.3,20.82
375,62.7,,7.4,20.83
380,62.7,,7.5,20.82
385,62.7,,7.6,20.84
390,62.7,,7.7,20.84
395,62.7,,7.8,20.88
400,62.7,,7.9,20.87
405,62.7,,8,20.88
410,62.7,,8.1,20.89
415,62.7,,8.2,20.87
420,62.6,,8.3,20.84
425,62.6,,8.4,20.86
430,62.6,,8.5,20.86
435,62.6,,8.6,20.91
440,62.6,,8.7,20.89
445,62.6,,8.8,20.91
450,62.6,,8.9,20.9
455,62.6,,9,20.91
460,62.6,,9.1,20.91
465,62.6,,9.2,20.87
470,62.6,,9.3,20.91
475,62.6,,9.4,20.89
480,62.7,,9.5,20.88
485,62.7,,9.6,20.87
490,62.7,,9.7,20.95
495,62.7,,9.8,20.96
500,62.7,,9.9,20.99
505,62.8,,10,20.95
510,62.8,,10.1,20.93
515,62.8,,10.2,20.93
520,62.8,,10.3,20.94
525,62.7,,10.4,20.92
530,62.7,,10.5,20.96
535,62.7,,10.6,20.95
540,62.7,,10.7,20.99
545,62.7,,10.8,21
550,62.7,,10.9,20.97
555,62.7,,11,20.95
560,62.7,,11.1,21
565,62.7,,11.2,20.98
570,62.6,,11.3,20.96
575,62.6,,11.4,20.95
580,62.6,,11.5,21.01
585,62.6,,11.6,20.99
590,62.6,,11.7,21.02
595,62.6,,11.8,21.01
600,62.6,,11.9,20.98
605,62.6,,12,20.99
610,62.6,,12.1,21.01
615,62.6,,12.2,20.93
620,62.6,,12.3,20.91
625,62.7,,12.4,20.9
630,62.6,,12.5,20.92
635,62.6,,12.6,20.9
640,62.6,,12.7,20.99
645,62.6,,12.8,20.93
650,62.6,,12.9,20.92
655,62.6,,13,20.95
660,62.6,,13.1,20.92
665,62.6,,13.2,20.95
670,62.5,,13.3,20.97
675,62.5,,13.4,20.95
680,62.5,,13.5,20.98
685,62.4,,13.6,21.02
690,62.4,,13.7,21.03
695,62.4,,13.8,20.98
700,62.4,,13.9,20.97
705,62.4,,14,21.01
710,62.4,,14.1,20.99
715,62.4,,14.2,21.02
720,62.4,,14.3,21.01
725,62.4,,14.4,21.1
730,62.4,,14.5,21.08
735,62.4,,14.6,21.11
740,62.4,,14.7,21.09
745,62.4,,14.8,21.09
750,62.4,,14.9,21.11
755,62.4,,15,21.11
760,62.4,,15.1,21.12
765,62.4,,15.2,21.09
770,62.4,,15.3,21.12
775,62.4,,15.4,21.1
780,62.4,,15.5,21.11
785,62.4,,15.6,21.12
790,62.4,,15.7,21.12
795,62.4,,15.8,21.12
800,62.4,,15.9,21.16
805,62.4,,16,21.12
810,62.4,,16.1,21.17
815,62.4,,16.2,21.17
820,62.4,,16.3,21.14
825,62.4,,16.4,21.12
830,62.4,,16.5,21.12
835,62.4,,16.6,21.12
840,62.4,,16.7,21.12
845,62.4,,16.8,21.12
850,62.4,,16.9,21.12
855,62.4,,17,21.12
860,62.4,,17.1,21.12
865,62.3,,17.2,21.12
870,62.3,,17.3,21.12
875,62.4,,17.4,21.12
880,62.4,,17.5,21.12
885,62.4,,17.6,21.03
890,62.4,,17.7,21.04
895,62.4,,17.8,21.07
900,62.4,,17.9,21.05
905,62.4,,18,21.03
910,62.4,,18.1,21.06
915,62.4,,18.2,21.04
920,62.4,,18.3,21.12
925,62.4,,18.4,21.11
930,62.3,,18.5,21.1
935,62.3,,18.6,21.1
940,62.3,,18.7,21.12
945,62.3,,18.8,21.18
950,62.3,,18.9,21.18
955,62.3,,19,21.11
960,62.3,,19.1,21.11
965,62.3,,19.2,21.08
970,62.3,,19.3,21.08
975,62.4,,19.4,21.1
980,62.4,,19.5,21.11
985,62.4,,19.6,21.1
990,62.4,,19.7,21.09
995,62.4,,19.8,21.1
1000,62.4,,19.9,21.08
1005,62.4,,20,21.08
1010,62.4,,20.1,21.07
1015,62.4,,20.2,21.11
1020,62.4,,20.3,21.07
1025,62.3,,20.4,21.06
1030,62.3,,20.5,21.06
1035,62.2,,20.6,21.08
1040,62.2,,20.7,21.08
1045,62.2,,20.8,21.06
1050,62.2,,20.9,21.09
1055,62.2,,21,21.13
1060,62.2,,21.1,21.11
1065,62.2,,21.2,21.1
1070,62.2,,21.3,21.15
1075,62.2,,21.4,21.11
1080,62.2,,21.5,21.13
1085,62.2,,21.6,21.1
1090,62.2,,21.7,21.1
1095,62.2,,21.8,21.1
1100,62.2,,21.9,21.07
1105,62.2,,22,21.06
1110,62.2,,22.1,21.16
1115,62.1,,22.2,21.11
1120,62.1,,22.3,21.14
1125,62.1,,22.4,21.12
1130,62.1,,22.5,21.12
1135,62.1,,22.6,21.1
1140,62.1,,22.7,21.1
1145,62.1,,22.8,21.08
1150,62.1,,22.9,21.13
1155,62.2,,23,21.14
1160,62.2,,23.1,21.09
1165,62.2,,23.2,21.15
1170,62.2,,23.3,21.15
1175,62.2,,23.4,21.09
1180,62.2,,23.5,21.05
1185,62.2,,23.6,21.07
1190,62.2,,23.7,21.03
1195,62.2,,23.8,21.04
1200,62.3,,23.9,21.08
,,,24,21.07
,,,24.1,21.08
,,,24.2,21.11
,,,24.3,21.12
,,,24.4,21.16
,,,24.5,21.14
,,,24.6,21.1
,,,24.7,21.08
,,,24.8,21.15
,,,24.9,21.1
