Date,Time,Humidity,Temperature
2022-10-25,7:35:00 PM,63.6,20.35
2022-10-25,7:35:05 PM,63.7,20.35
2022-10-25,7:35:10 PM,63.7,20.35
2022-10-25,7:35:15 PM,63.7,20.35
2022-10-25,7:35:20 PM,63.8,20.35
2022-10-25,7:35:25 PM,63.8,20.35
2022-10-25,7:35:30 PM,63.8,20.4
2022-10-25,7:35:35 PM,63.8,20.35
2022-10-25,7:35:40 PM,63.7,20.4
2022-10-25,7:35:45 PM,63.7,20.4
2022-10-25,7:35:50 PM,63.7,20.4
2022-10-25,7:35:55 PM,63.6,20.4
2022-10-25,7:36:00 PM,63.6,20.35
2022-10-25,7:36:05 PM,63.6,20.35
2022-10-25,7:36:10 PM,63.6,20.35
2022-10-25,7:36:15 PM,63.6,20.4
2022-10-25,7:36:20 PM,63.5,20.35
2022-10-25,7:36:25 PM,63.5,20.35
2022-10-25,7:36:30 PM,63.5,20.4
2022-10-25,7:36:35 PM,63.5,20.35
2022-10-25,7:36:40 PM,63.4,20.4
2022-10-25,7:36:45 PM,63.4,20.4
2022-10-25,7:36:50 PM,63.4,20.4
2022-10-25,7:36:55 PM,63.4,20.4
2022-10-25,7:37:00 PM,63.4,20.4
2022-10-25,7:37:05 PM,63.3,20.35
2022-10-25,7:37:10 PM,63.3,20.4
2022-10-25,7:37:15 PM,63.4,20.4
2022-10-25,7:37:20 PM,63.3,20.4
2022-10-25,7:37:25 PM,63.3,20.4
2022-10-25,7:37:30 PM,63.3,20.4
2022-10-25,7:37:35 PM,63.3,20.4
2022-10-25,7:37:40 PM,63.3,20.4
2022-10-25,7:37:45 PM,63.3,20.4
2022-10-25,7:37:50 PM,63.3,20.4
2022-10-25,7:37:55 PM,63.2,20.4
2022-10-25,7:38:00 PM,63.2,20.4
2022-10-25,7:38:05 PM,63.2,20.4
2022-10-25,7:38:10 PM,63.2,20.4
2022-10-25,7:38:15 PM,63.2,20.4
2022-10-25,7:38:20 PM,63.2,20.4
2022-10-25,7:38:25 PM,63.1,20.4
2022-10-25,7:38:30 PM,63.1,20.45
2022-10-25,7:38:35 PM,63.1,20.4
2022-10-25,7:38:40 PM,63.1,20.4
2022-10-25,7:38:45 PM,63.1,20.4
2022-10-25,7:38:50 PM,63.1,20.4
2022-10-25,7:38:55 PM,63.1,20.4
2022-10-25,7:39:00 PM,63.1,20.45
2022-10-25,7:39:05 PM,63.2,20.4
2022-10-25,7:39:10 PM,63.2,20.45
2022-10-25,7:39:15 PM,63.2,20.4
2022-10-25,7:39:20 PM,63.2,20.45
2022-10-25,7:39:25 PM,63.2,20.4
2022-10-25,7:39:30 PM,63.2,20.45
2022-10-25,7:39:35 PM,63.2,20.45
2022-10-25,7:39:40 PM,63.2,20.45
2022-10-25,7:39:45 PM,63.2,20.45
2022-10-25,7:39:50 PM,63.2,20.45
2022-10-25,7:39:55 PM,63.1,20.45
2022-10-25,7:40:00 PM,63.1,20.45
2022-10-25,7:40:05 PM,63.1,20.5
2022-10-25,7:40:10 PM,63.1,20.45
2022-10-25,7:40:15 PM,63,20.45
2022-10-25,7:40:20 PM,63,20.45
2022-10-25,7:40:25 PM,63,20.5
2022-10-25,7:40:30 PM,62.9,20.45
2022-10-25,7:40:35 PM,62.9,20.45
2022-10-25,7:40:40 PM,62.8,20.5
2022-10-25,7:40:45 PM,62.8,20.45
2022-10-25,7:40:50 PM,62.8,20.5
2022-10-25,7:40:55 PM,62.7,20.45
2022-10-25,7:41:00 PM,62.7,20.45
2022-10-25,7:41:05 PM,62.7,20.45
2022-10-25,7:41:10 PM,62.7,20.45
2022-10-25,7:41:15 PM,62.7,20.45
2022-10-25,7:41:20 PM,62.7,20.45
2022-10-25,7:41:25 PM,62.7,20.45
2022-10-25,7:41:30 PM,62.7,20.45
2022-10-25,7:41:35 PM,62.7,20.45
2022-10-25,7:41:40 PM,62.7,20.45
2022-10-25,7:41:45 PM,62.7,20.45
2022-10-25,7:41:50 PM,62.7,20.45
2022-10-25,7:41:55 PM,62.7,20.45
2022-10-25,7:42:00 PM,62.6,20.45
2022-10-25,7:42:05 PM,62.6,20.45
2022-10-25,7:42:10 PM,62.6,20.45
2022-10-25,7:42:15 PM,62.6,20.45
2022-10-25,7:42:20 PM,62.6,20.45
2022-10-25,7:42:25 PM,62.6,20.4
2022-10-25,7:42:30 PM,62.6,20.4
2022-10-25,7:42:35 PM,62.6,20.4
2022-10-25,7:42:40 PM,62.6,20.4
2022-10-25,7:42:45 PM,62.6,20.4
2022-10-25,7:42:50 PM,62.6,20.4
2022-10-25,7:42:55 PM,62.6,20.4
