Date,Time,Temperature ,Tair ,Treflect
3:39:00 PM,0,20.82 ,21.182,21.21 
3:39:00 PM,0.1,20.84 ,21.184,21.24 
3:39:00 PM,0.2,20.85 ,21.185,21.24 
3:39:00 PM,0.3,20.84 ,21.187,21.23 
3:39:00 PM,0.4,20.85 ,21.189,21.24 
3:39:00 PM,0.5,20.88 ,21.189,21.26 
3:39:00 PM,0.6,20.90 ,21.189,21.28 
3:39:00 PM,0.7,20.90 ,21.189,21.26 
3:39:00 PM,0.8,20.92 ,21.189,21.27 
3:39:00 PM,0.9,20.92 ,21.189,21.27 
3:39:01 PM,1,20.95 ,21.189,21.28 
3:39:01 PM,1.1,21.01 ,21.189,21.33 
3:39:01 PM,1.2,21.01 ,21.188,21.33 
3:39:01 PM,1.3,20.98 ,21.188,21.29 
3:39:01 PM,1.4,21.01 ,21.187,21.30 
3:39:01 PM,1.5,21.04 ,21.187,21.33 
3:39:01 PM,1.6,21.04 ,21.186,21.32 
3:39:01 PM,1.7,21.07 ,21.185,21.34 
3:39:01 PM,1.8,21.07 ,21.185,21.33 
3:39:01 PM,1.9,21.09 ,21.187,21.33 
3:39:02 PM,2,21.14 ,21.188,21.37 
3:39:02 PM,2.1,21.13 ,21.19,21.35 
3:39:02 PM,2.2,21.13 ,21.191,21.35 
3:39:02 PM,2.3,21.16 ,21.193,21.36 
3:39:02 PM,2.4,21.15 ,21.194,21.35 
3:39:02 PM,2.5,21.18 ,21.196,21.37 
3:39:02 PM,2.6,21.18 ,21.196,21.35 
3:39:02 PM,2.7,21.22 ,21.197,21.39 
3:39:02 PM,2.8,21.18 ,21.197,21.34 
3:39:02 PM,2.9,21.19 ,21.198,21.34 
3:39:03 PM,3,21.24 ,21.198,21.38 
3:39:03 PM,3.1,21.28 ,21.199,21.41 
3:39:03 PM,3.2,21.25 ,21.2,21.37 
3:39:03 PM,3.3,21.30 ,21.2,21.41 
3:39:03 PM,3.4,21.30 ,21.201,21.40 
3:39:03 PM,3.5,21.32 ,21.201,21.41 
3:39:03 PM,3.6,21.33 ,21.202,21.41 
3:39:03 PM,3.7,21.37 ,21.202,21.44 
3:39:03 PM,3.8,21.34 ,21.203,21.40 
3:39:03 PM,3.9,21.39 ,21.203,21.45 
3:39:04 PM,4,21.39 ,21.204,21.44 
3:39:04 PM,4.1,21.41 ,21.204,21.45 
3:39:04 PM,4.2,21.37 ,21.205,21.40 
3:39:04 PM,4.3,21.39 ,21.205,21.42 
3:39:04 PM,4.4,21.41 ,21.206,21.42 
3:39:04 PM,4.5,21.41 ,21.206,21.42 
3:39:04 PM,4.6,21.46 ,21.207,21.45 
3:39:04 PM,4.7,21.44 ,21.207,21.43 
3:39:04 PM,4.8,21.44 ,21.207,21.42 
3:39:04 PM,4.9,21.49 ,21.207,21.46 
3:39:05 PM,5,21.49 ,21.207,21.45 
3:39:05 PM,5.1,21.50 ,21.207,21.44 
3:39:05 PM,5.2,21.57 ,21.207,21.51 
3:39:05 PM,5.3,21.54 ,21.207,21.47 
3:39:05 PM,5.4,21.60 ,21.208,21.53 
3:39:05 PM,5.5,21.53 ,21.21,21.45 
3:39:05 PM,5.6,21.52 ,21.212,21.43 
3:39:05 PM,5.7,21.60 ,21.213,21.50 
3:39:05 PM,5.8,21.65 ,21.215,21.55 
3:39:05 PM,5.9,21.60 ,21.216,21.48 
3:39:06 PM,6,21.63 ,21.218,21.51 
3:39:06 PM,6.1,21.61 ,21.218,21.48 
3:39:06 PM,6.2,21.61 ,21.218,21.47 
3:39:06 PM,6.3,21.62 ,21.218,21.46 
3:39:06 PM,6.4,21.61 ,21.218,21.46 
