Date,Time,Humidity,Temperature
2022-12-15,8:16:00 PM,22.8,20.4
2022-12-15,8:16:05 PM,22.8,20.4
2022-12-15,8:16:10 PM,22.8,20.4
2022-12-15,8:16:15 PM,22.8,20.4
2022-12-15,8:16:20 PM,22.7,20.4
2022-12-15,8:16:25 PM,22.7,20.45
2022-12-15,8:16:30 PM,22.7,20.4
2022-12-15,8:16:35 PM,22.7,20.4
2022-12-15,8:16:40 PM,22.7,20.45
2022-12-15,8:16:45 PM,22.7,20.45
2022-12-15,8:16:50 PM,22.7,20.45
2022-12-15,8:16:55 PM,22.7,20.45
2022-12-15,8:17:00 PM,22.6,20.4
2022-12-15,8:17:05 PM,22.6,20.45
2022-12-15,8:17:10 PM,22.6,20.45
2022-12-15,8:17:15 PM,22.6,20.4
2022-12-15,8:17:20 PM,22.6,20.4
2022-12-15,8:17:25 PM,22.6,20.45
2022-12-15,8:17:30 PM,22.6,20.4
2022-12-15,8:17:35 PM,22.6,20.4
2022-12-15,8:17:40 PM,22.6,20.4
2022-12-15,8:17:45 PM,22.6,20.4
2022-12-15,8:17:50 PM,22.6,20.4
2022-12-15,8:17:55 PM,22.6,20.4
2022-12-15,8:18:00 PM,22.6,20.4
2022-12-15,8:18:05 PM,22.6,20.4
2022-12-15,8:18:10 PM,22.6,20.4
2022-12-15,8:18:15 PM,22.6,20.4
2022-12-15,8:18:20 PM,22.6,20.4
2022-12-15,8:18:25 PM,22.6,20.4
2022-12-15,8:18:30 PM,22.6,20.4
2022-12-15,8:18:35 PM,22.6,20.4
2022-12-15,8:18:40 PM,22.6,20.4
2022-12-15,8:18:45 PM,22.6,20.35
2022-12-15,8:18:50 PM,22.6,20.4
2022-12-15,8:18:55 PM,22.6,20.4
2022-12-15,8:19:00 PM,22.6,20.4
2022-12-15,8:19:05 PM,22.6,20.4
2022-12-15,8:19:10 PM,22.6,20.4
2022-12-15,8:19:15 PM,22.6,20.4
2022-12-15,8:19:20 PM,22.6,20.4
2022-12-15,8:19:25 PM,22.6,20.4
2022-12-15,8:19:30 PM,22.6,20.4
2022-12-15,8:19:35 PM,22.6,20.4
2022-12-15,8:19:40 PM,22.6,20.4
2022-12-15,8:19:45 PM,22.6,20.4
2022-12-15,8:19:50 PM,22.6,20.4
2022-12-15,8:19:55 PM,22.6,20.4
2022-12-15,8:20:00 PM,22.6,20.4
2022-12-15,8:20:05 PM,22.6,20.4
2022-12-15,8:20:10 PM,22.6,20.45
2022-12-15,8:20:15 PM,22.6,20.45
2022-12-15,8:20:20 PM,22.6,20.45
2022-12-15,8:20:25 PM,22.6,20.45
2022-12-15,8:20:30 PM,22.6,20.45
2022-12-15,8:20:35 PM,22.6,20.45
2022-12-15,8:20:40 PM,22.6,20.45
2022-12-15,8:20:45 PM,22.5,20.45
2022-12-15,8:20:50 PM,22.5,20.45
2022-12-15,8:20:55 PM,22.5,20.45
2022-12-15,8:21:00 PM,22.5,20.45
2022-12-15,8:21:05 PM,22.5,20.45
2022-12-15,8:21:10 PM,22.5,20.45
2022-12-15,8:21:15 PM,22.5,20.45
2022-12-15,8:21:20 PM,22.5,20.45
2022-12-15,8:21:25 PM,22.5,20.45
2022-12-15,8:21:30 PM,22.5,20.45
2022-12-15,8:21:35 PM,22.5,20.45
2022-12-15,8:21:40 PM,22.4,20.45
2022-12-15,8:21:45 PM,22.4,20.45
2022-12-15,8:21:50 PM,22.4,20.45
2022-12-15,8:21:55 PM,22.4,20.45
2022-12-15,8:22:00 PM,22.4,20.45
2022-12-15,8:22:05 PM,22.4,20.45
2022-12-15,8:22:10 PM,22.4,20.45
2022-12-15,8:22:15 PM,22.4,20.45
2022-12-15,8:22:20 PM,22.4,20.45
2022-12-15,8:22:25 PM,22.4,20.45
2022-12-15,8:22:30 PM,22.4,20.45
2022-12-15,8:22:35 PM,22.4,20.45
2022-12-15,8:22:40 PM,22.4,20.45
2022-12-15,8:22:45 PM,22.4,20.45
2022-12-15,8:22:50 PM,22.4,20.45
2022-12-15,8:22:55 PM,22.3,20.45
2022-12-15,8:23:00 PM,22.4,20.45
2022-12-15,8:23:05 PM,22.3,20.45
2022-12-15,8:23:10 PM,22.4,20.4
2022-12-15,8:23:15 PM,22.4,20.45
2022-12-15,8:23:20 PM,22.4,20.45
2022-12-15,8:23:25 PM,22.4,20.4
2022-12-15,8:23:30 PM,22.4,20.45
2022-12-15,8:23:35 PM,22.4,20.4
2022-12-15,8:23:40 PM,22.3,20.45
2022-12-15,8:23:45 PM,22.4,20.45
2022-12-15,8:23:50 PM,22.4,20.45
2022-12-15,8:23:55 PM,22.4,20.45
2022-12-15,8:24:00 PM,22.4,20.4
2022-12-15,8:24:05 PM,22.4,20.4
2022-12-15,8:24:10 PM,22.4,20.4
2022-12-15,8:24:15 PM,22.4,20.45
2022-12-15,8:24:20 PM,22.4,20.45
2022-12-15,8:24:25 PM,22.4,20.45
2022-12-15,8:24:30 PM,22.4,20.45
2022-12-15,8:24:35 PM,22.4,20.45
2022-12-15,8:24:40 PM,22.4,20.45
2022-12-15,8:24:45 PM,22.4,20.45
2022-12-15,8:24:50 PM,22.3,20.45
2022-12-15,8:24:55 PM,22.3,20.45
2022-12-15,8:25:00 PM,22.3,20.4
2022-12-15,8:25:05 PM,22.3,20.4
2022-12-15,8:25:10 PM,22.3,20.4
2022-12-15,8:25:15 PM,22.3,20.45
2022-12-15,8:25:20 PM,22.3,20.45
2022-12-15,8:25:25 PM,22.3,20.45
2022-12-15,8:25:30 PM,22.3,20.45
2022-12-15,8:25:35 PM,22.3,20.45
2022-12-15,8:25:40 PM,22.3,20.45
2022-12-15,8:25:45 PM,22.3,20.45
2022-12-15,8:25:50 PM,22.3,20.45
2022-12-15,8:25:55 PM,22.3,20.45
2022-12-15,8:26:00 PM,22.3,20.45
2022-12-15,8:26:05 PM,22.3,20.45
2022-12-15,8:26:10 PM,22.3,20.45
2022-12-15,8:26:15 PM,22.3,20.45
2022-12-15,8:26:20 PM,22.3,20.45
2022-12-15,8:26:25 PM,22.3,20.45
2022-12-15,8:26:30 PM,22.3,20.45
2022-12-15,8:26:35 PM,22.3,20.45
2022-12-15,8:26:40 PM,22.3,20.45
2022-12-15,8:26:45 PM,22.3,20.45
2022-12-15,8:26:50 PM,22.3,20.45
2022-12-15,8:26:55 PM,22.3,20.45
2022-12-15,8:27:00 PM,22.3,20.45
2022-12-15,8:27:05 PM,22.3,20.45
2022-12-15,8:27:10 PM,22.3,20.45
2022-12-15,8:27:15 PM,22.3,20.45
2022-12-15,8:27:20 PM,22.3,20.45
2022-12-15,8:27:25 PM,22.3,20.45
2022-12-15,8:27:30 PM,22.3,20.45
2022-12-15,8:27:35 PM,22.3,20.45
2022-12-15,8:27:40 PM,22.3,20.45
2022-12-15,8:27:45 PM,22.3,20.45
2022-12-15,8:27:50 PM,22.3,20.45
2022-12-15,8:27:55 PM,22.3,20.45
2022-12-15,8:28:00 PM,22.3,20.45
2022-12-15,8:28:05 PM,22.3,20.45
2022-12-15,8:28:10 PM,22.3,20.45
2022-12-15,8:28:15 PM,22.3,20.45
2022-12-15,8:28:20 PM,22.3,20.45
2022-12-15,8:28:25 PM,22.3,20.45
2022-12-15,8:28:30 PM,22.3,20.45
2022-12-15,8:28:35 PM,22.3,20.45
2022-12-15,8:28:40 PM,22.2,20.45
2022-12-15,8:28:45 PM,22.2,20.45
2022-12-15,8:28:50 PM,22.2,20.45
2022-12-15,8:28:55 PM,22.2,20.45
2022-12-15,8:29:00 PM,22.2,20.45
2022-12-15,8:29:05 PM,22.2,20.45
2022-12-15,8:29:10 PM,22.2,20.45
2022-12-15,8:29:15 PM,22.2,20.45
2022-12-15,8:29:20 PM,22.2,20.45
2022-12-15,8:29:25 PM,22.2,20.4
2022-12-15,8:29:30 PM,22.2,20.45
2022-12-15,8:29:35 PM,22.2,20.45
2022-12-15,8:29:40 PM,22.2,20.45
2022-12-15,8:29:45 PM,22.2,20.4
2022-12-15,8:29:50 PM,22.2,20.4
2022-12-15,8:29:55 PM,22.2,20.4
2022-12-15,8:30:00 PM,22.2,20.4
2022-12-15,8:30:05 PM,22.2,20.4
2022-12-15,8:30:10 PM,22.2,20.4
2022-12-15,8:30:15 PM,22.3,20.4
2022-12-15,8:30:20 PM,22.3,20.4
2022-12-15,8:30:25 PM,22.3,20.4
2022-12-15,8:30:30 PM,22.3,20.4
2022-12-15,8:30:35 PM,22.3,20.4
2022-12-15,8:30:40 PM,22.3,20.4
2022-12-15,8:30:45 PM,22.2,20.4
2022-12-15,8:30:50 PM,22.3,20.4
2022-12-15,8:30:55 PM,22.3,20.35
2022-12-15,8:31:00 PM,22.3,20.4
2022-12-15,8:31:05 PM,22.3,20.4
2022-12-15,8:31:10 PM,22.3,20.4
2022-12-15,8:31:15 PM,22.3,20.4
2022-12-15,8:31:20 PM,22.3,20.35
2022-12-15,8:31:25 PM,22.3,20.4
2022-12-15,8:31:30 PM,22.3,20.4
2022-12-15,8:31:35 PM,22.3,20.4
