Date,Time,Temperature ,Tair ,Treflect
2:54:00 PM,0,19.58 ,20.547,20.45 
2:54:00 PM,0.1,19.61 ,20.549,20.47 
2:54:00 PM,0.2,19.61 ,20.551,20.48 
2:54:00 PM,0.3,19.60 ,20.553,20.47 
2:54:00 PM,0.4,19.63 ,20.553,20.50 
2:54:00 PM,0.5,19.64 ,20.553,20.51 
2:54:00 PM,0.6,19.62 ,20.553,20.49 
2:54:00 PM,0.7,19.61 ,20.553,20.49 
2:54:00 PM,0.8,19.64 ,20.552,20.51 
2:54:00 PM,0.9,19.65 ,20.551,20.52 
2:54:01 PM,1,19.67 ,20.55,20.54 
2:54:01 PM,1.1,19.62 ,20.549,20.52 
2:54:01 PM,1.2,19.62 ,20.55,20.53 
2:54:01 PM,1.3,19.65 ,20.551,20.57 
2:54:01 PM,1.4,19.66 ,20.552,20.58 
2:54:01 PM,1.5,19.71 ,20.553,20.65 
2:54:01 PM,1.6,19.66 ,20.552,20.60 
2:54:01 PM,1.7,19.67 ,20.551,20.62 
2:54:01 PM,1.8,19.66 ,20.55,20.60 
2:54:01 PM,1.9,19.65 ,20.549,20.59 
2:54:02 PM,2,19.64 ,20.55,20.60 
2:54:02 PM,2.1,19.73 ,20.551,20.69 
2:54:02 PM,2.2,19.69 ,20.552,20.65 
2:54:02 PM,2.3,19.73 ,20.553,20.69 
2:54:02 PM,2.4,19.74 ,20.555,20.71 
2:54:02 PM,2.5,19.74 ,20.557,20.71 
2:54:02 PM,2.6,19.74 ,20.558,20.71 
2:54:02 PM,2.7,19.72 ,20.56,20.68 
2:54:02 PM,2.8,19.76 ,20.559,20.73 
2:54:02 PM,2.9,19.75 ,20.559,20.71 
2:54:03 PM,3,19.76 ,20.558,20.73 
2:54:03 PM,3.1,19.81 ,20.557,20.77 
2:54:03 PM,3.2,19.79 ,20.558,20.77 
2:54:03 PM,3.3,19.78 ,20.559,20.75 
2:54:03 PM,3.4,19.77 ,20.56,20.74 
2:54:03 PM,3.5,19.79 ,20.561,20.76 
2:54:03 PM,3.6,19.78 ,20.562,20.75 
2:54:03 PM,3.7,19.83 ,20.564,20.81 
2:54:03 PM,3.8,19.84 ,20.566,20.82 
2:54:03 PM,3.9,19.80 ,20.568,20.78 
2:54:04 PM,4,19.78 ,20.566,20.75 
2:54:04 PM,4.1,19.79 ,20.564,20.77 
2:54:04 PM,4.2,19.77 ,20.562,20.74 
2:54:04 PM,4.3,19.79 ,20.561,20.76 
2:54:04 PM,4.4,19.78 ,20.562,20.75 
2:54:04 PM,4.5,19.80 ,20.562,20.77 
2:54:04 PM,4.6,19.80 ,20.563,20.77 
2:54:04 PM,4.7,19.82 ,20.564,20.78 
2:54:04 PM,4.8,19.81 ,20.566,20.78 
2:54:04 PM,4.9,19.80 ,20.568,20.77 
2:54:05 PM,5,19.79 ,20.57,20.76 
2:54:05 PM,5.1,19.82 ,20.572,20.79 
