Date,Time,Humidity,Temperature
2022-12-21,4:56:00 PM,42.2,20.35
2022-12-21,4:56:05 PM,42.2,20.35
2022-12-21,4:56:10 PM,42.2,20.4
2022-12-21,4:56:15 PM,42.2,20.4
2022-12-21,4:56:20 PM,42.3,20.4
2022-12-21,4:56:25 PM,42.2,20.4
2022-12-21,4:56:30 PM,42.2,20.45
2022-12-21,4:56:35 PM,42.2,20.45
2022-12-21,4:56:40 PM,42.2,20.45
2022-12-21,4:56:45 PM,42.1,20.45
2022-12-21,4:56:50 PM,42.1,20.5
2022-12-21,4:56:55 PM,42.1,20.5
2022-12-21,4:57:00 PM,42.1,20.5
2022-12-21,4:57:05 PM,42.1,20.55
2022-12-21,4:57:10 PM,42.1,20.5
2022-12-21,4:57:15 PM,42,20.55
2022-12-21,4:57:20 PM,42.1,20.55
2022-12-21,4:57:25 PM,42,20.55
2022-12-21,4:57:30 PM,42,20.55
2022-12-21,4:57:35 PM,41.9,20.55
2022-12-21,4:57:40 PM,42,20.55
2022-12-21,4:57:45 PM,41.9,20.55
2022-12-21,4:57:50 PM,41.9,20.55
2022-12-21,4:57:55 PM,41.9,20.55
2022-12-21,4:58:00 PM,41.9,20.55
2022-12-21,4:58:05 PM,41.8,20.55
2022-12-21,4:58:10 PM,41.8,20.55
2022-12-21,4:58:15 PM,41.8,20.55
2022-12-21,4:58:20 PM,41.8,20.55
2022-12-21,4:58:25 PM,41.9,20.55
2022-12-21,4:58:30 PM,41.9,20.55
2022-12-21,4:58:35 PM,41.9,20.55
2022-12-21,4:58:40 PM,41.8,20.55
2022-12-21,4:58:45 PM,41.8,20.55
2022-12-21,4:58:50 PM,41.8,20.55
2022-12-21,4:58:55 PM,41.8,20.55
2022-12-21,4:59:00 PM,41.9,20.55
2022-12-21,4:59:05 PM,41.9,20.55
2022-12-21,4:59:10 PM,41.8,20.55
2022-12-21,4:59:15 PM,41.8,20.55
2022-12-21,4:59:20 PM,41.9,20.55
2022-12-21,4:59:25 PM,41.8,20.55
2022-12-21,4:59:30 PM,41.8,20.55
2022-12-21,4:59:35 PM,41.8,20.5
2022-12-21,4:59:40 PM,41.8,20.55
2022-12-21,4:59:45 PM,41.8,20.5
2022-12-21,4:59:50 PM,41.8,20.5
2022-12-21,4:59:55 PM,41.8,20.5
2022-12-21,5:00:00 PM,41.7,20.5
2022-12-21,5:00:05 PM,41.8,20.5
2022-12-21,5:00:10 PM,41.8,20.5
2022-12-21,5:00:15 PM,41.8,20.5
2022-12-21,5:00:20 PM,41.8,20.5
2022-12-21,5:00:25 PM,41.9,20.5
2022-12-21,5:00:30 PM,41.9,20.55
2022-12-21,5:00:35 PM,41.9,20.5
2022-12-21,5:00:40 PM,41.9,20.5
2022-12-21,5:00:45 PM,41.9,20.5
2022-12-21,5:00:50 PM,41.8,20.5
2022-12-21,5:00:55 PM,41.8,20.5
2022-12-21,5:01:00 PM,41.8,20.5
2022-12-21,5:01:05 PM,41.8,20.5
2022-12-21,5:01:10 PM,41.8,20.5
2022-12-21,5:01:15 PM,41.8,20.5
2022-12-21,5:01:20 PM,41.8,20.5
2022-12-21,5:01:25 PM,41.7,20.5
2022-12-21,5:01:30 PM,41.7,20.5
2022-12-21,5:01:35 PM,41.7,20.5
2022-12-21,5:01:40 PM,41.8,20.5
2022-12-21,5:01:45 PM,41.8,20.5
2022-12-21,5:01:50 PM,41.8,20.5
2022-12-21,5:01:55 PM,41.7,20.5
2022-12-21,5:02:00 PM,41.8,20.45
2022-12-21,5:02:05 PM,41.8,20.5
2022-12-21,5:02:10 PM,41.8,20.5
2022-12-21,5:02:15 PM,41.8,20.5
2022-12-21,5:02:20 PM,41.8,20.45
2022-12-21,5:02:25 PM,41.8,20.45
2022-12-21,5:02:30 PM,41.8,20.45
2022-12-21,5:02:35 PM,41.8,20.45
2022-12-21,5:02:40 PM,41.8,20.45
2022-12-21,5:02:45 PM,41.8,20.45
2022-12-21,5:02:50 PM,41.8,20.45
2022-12-21,5:02:55 PM,41.8,20.45
2022-12-21,5:03:00 PM,41.8,20.45
2022-12-21,5:03:05 PM,41.8,20.5
2022-12-21,5:03:10 PM,41.8,20.45
2022-12-21,5:03:15 PM,41.7,20.45
2022-12-21,5:03:20 PM,41.7,20.45
2022-12-21,5:03:25 PM,41.8,20.45
2022-12-21,5:03:30 PM,41.7,20.45
2022-12-21,5:03:35 PM,41.8,20.45
2022-12-21,5:03:40 PM,41.7,20.45
2022-12-21,5:03:45 PM,41.7,20.45
2022-12-21,5:03:50 PM,41.8,20.45
2022-12-21,5:03:55 PM,41.8,20.45
2022-12-21,5:04:00 PM,41.7,20.45
2022-12-21,5:04:05 PM,41.7,20.45
2022-12-21,5:04:10 PM,41.7,20.45
