Date,Time,Temperature,Tair,Treflect
4:56:00 PM,0,18.51 ,20.846,21.29 
4:56:00 PM,0.1,18.51 ,20.848,21.30 
4:56:00 PM,0.2,18.52 ,20.848,21.30 
4:56:00 PM,0.3,18.61 ,20.848,21.36 
4:56:00 PM,0.4,18.65 ,20.848,21.39 
4:56:00 PM,0.5,18.70 ,20.848,21.42 
4:56:00 PM,0.6,18.76 ,20.85,21.48 
4:56:00 PM,0.7,18.70 ,20.853,21.40 
4:56:00 PM,0.8,18.74 ,20.856,21.42 
4:56:00 PM,0.9,18.79 ,20.859,21.47 
4:56:01 PM,1,18.85 ,20.861,21.50 
4:56:01 PM,1.1,18.82 ,20.862,21.46 
4:56:01 PM,1.2,18.81 ,20.864,21.43 
4:56:01 PM,1.3,18.85 ,20.866,21.44 
4:56:01 PM,1.4,18.86 ,20.868,21.43 
4:56:01 PM,1.5,18.90 ,20.87,21.47 
4:56:01 PM,1.6,18.91 ,20.872,21.47 
4:56:01 PM,1.7,18.96 ,20.874,21.49 
4:56:01 PM,1.8,18.96 ,20.877,21.47 
4:56:01 PM,1.9,18.94 ,20.881,21.44 
4:56:02 PM,2,18.97 ,20.885,21.44 
4:56:02 PM,2.1,19.02 ,20.888,21.49 
4:56:02 PM,2.2,19.01 ,20.891,21.47 
4:56:02 PM,2.3,19.07 ,20.894,21.50 
4:56:02 PM,2.4,19.05 ,20.896,21.47 
4:56:02 PM,2.5,19.08 ,20.899,21.48 
4:56:02 PM,2.6,19.11 ,20.903,21.50 
4:56:02 PM,2.7,19.18 ,20.907,21.54 
4:56:02 PM,2.8,19.17 ,20.91,21.52 
4:56:02 PM,2.9,19.15 ,20.914,21.49 
4:56:03 PM,3,19.17 ,20.92,21.49 
4:56:03 PM,3.1,19.24 ,20.925,21.54 
4:56:03 PM,3.2,19.22 ,20.931,21.51 
4:56:03 PM,3.3,19.28 ,20.936,21.55 
4:56:03 PM,3.4,19.34 ,20.94,21.60 
4:56:03 PM,3.5,19.30 ,20.943,21.54 
4:56:03 PM,3.6,19.34 ,20.947,21.55 
4:56:03 PM,3.7,19.38 ,20.951,21.57 
4:56:03 PM,3.8,19.36 ,20.954,21.55 
4:56:03 PM,3.9,19.39 ,20.956,21.56 
4:56:04 PM,4,19.37 ,20.959,21.52 
4:56:04 PM,4.1,19.41 ,20.962,21.56 
4:56:04 PM,4.2,19.44 ,20.964,21.57 
4:56:04 PM,4.3,19.43 ,20.965,21.54 
4:56:04 PM,4.4,19.46 ,20.967,21.55 
4:56:04 PM,4.5,19.49 ,20.969,21.58 
4:56:04 PM,4.6,19.48 ,20.97,21.54 
4:56:04 PM,4.7,19.48 ,20.971,21.52 
4:56:04 PM,4.8,19.49 ,20.972,21.53 
4:56:04 PM,4.9,19.52 ,20.973,21.54 
4:56:05 PM,5,19.55 ,20.976,21.55 
4:56:05 PM,5.1,19.56 ,20.978,21.55 
4:56:05 PM,5.2,19.62 ,20.981,21.58 
4:56:05 PM,5.3,19.62 ,20.984,21.57 
4:56:05 PM,5.4,19.60 ,20.988,21.54 
4:56:05 PM,5.5,19.61 ,20.991,21.53 
4:56:05 PM,5.6,19.61 ,20.995,21.51 
4:56:05 PM,5.7,19.61 ,20.999,21.50 
4:56:05 PM,5.8,19.67 ,21.003,21.55 
4:56:05 PM,5.9,19.67 ,21.008,21.53 
4:56:06 PM,6,19.69 ,21.012,21.53 
4:56:06 PM,6.1,19.71 ,21.017,21.54 
4:56:06 PM,6.2,19.70 ,21.019,21.52 
4:56:06 PM,6.3,19.68 ,21.021,21.49 
4:56:06 PM,6.4,19.68 ,21.023,21.48 
4:56:06 PM,6.5,19.69 ,21.024,21.48 
4:56:06 PM,6.6,19.70 ,21.028,21.47 
4:56:06 PM,6.7,19.80 ,21.032,21.55 
4:56:06 PM,6.8,19.83 ,21.035,21.57 
4:56:06 PM,6.9,19.81 ,21.039,21.54 
4:56:07 PM,7,19.86 ,21.043,21.58 
4:56:07 PM,7.1,19.82 ,21.047,21.52 
4:56:07 PM,7.2,19.82 ,21.05,21.51 
4:56:07 PM,7.3,19.84 ,21.054,21.52 
4:56:07 PM,7.4,19.87 ,21.058,21.54 
