Date,Time,Temperature ,Tair ,Treflect
3:26:00 PM,0,18.05 ,20.388,20.39 
3:26:00 PM,0.1,18.07 ,20.388,20.42 
3:26:00 PM,0.2,18.08 ,20.389,20.41 
3:26:00 PM,0.3,18.15 ,20.391,20.45 
3:26:00 PM,0.4,18.17 ,20.392,20.49 
3:26:00 PM,0.5,18.15 ,20.394,20.45 
3:26:00 PM,0.6,18.15 ,20.395,20.45 
3:26:00 PM,0.7,18.21 ,20.396,20.50 
3:26:00 PM,0.8,18.26 ,20.397,20.55 
3:26:00 PM,0.9,18.26 ,20.397,20.50 
3:26:01 PM,1,18.28 ,20.398,20.52 
3:26:01 PM,1.1,18.34 ,20.399,20.58 
3:26:01 PM,1.2,18.36 ,20.396,20.58 
3:26:01 PM,1.3,18.36 ,20.393,20.59 
3:26:01 PM,1.4,18.41 ,20.39,20.60 
3:26:01 PM,1.5,18.47 ,20.387,20.63 
3:26:01 PM,1.6,18.41 ,20.384,20.57 
3:26:01 PM,1.7,18.40 ,20.386,20.54 
3:26:01 PM,1.8,18.41 ,20.387,20.54 
3:26:01 PM,1.9,18.45 ,20.389,20.58 
3:26:02 PM,2,18.54 ,20.39,20.61 
3:26:02 PM,2.1,18.54 ,20.392,20.62 
3:26:02 PM,2.2,18.53 ,20.392,20.60 
3:26:02 PM,2.3,18.54 ,20.392,20.60 
3:26:02 PM,2.4,18.57 ,20.392,20.63 
3:26:02 PM,2.5,18.58 ,20.392,20.60 
3:26:02 PM,2.6,18.59 ,20.392,20.61 
3:26:02 PM,2.7,18.64 ,20.393,20.63 
3:26:02 PM,2.8,18.65 ,20.393,20.63 
3:26:02 PM,2.9,18.71 ,20.394,20.69 
3:26:03 PM,3,18.67 ,20.395,20.63 
3:26:03 PM,3.1,18.68 ,20.396,20.63 
3:26:03 PM,3.2,18.71 ,20.396,20.65 
3:26:03 PM,3.3,18.74 ,20.396,20.69 
3:26:03 PM,3.4,18.75 ,20.396,20.65 
