Date,Time,Temperature ,Tair ,Treflect
2:55:00 PM,0,18.37 ,20.496,20.11 
2:55:00 PM,0.1,18.37 ,20.495,20.12 
2:55:00 PM,0.2,18.38 ,20.494,20.13 
2:55:00 PM,0.3,18.40 ,20.496,20.14 
2:55:00 PM,0.4,18.41 ,20.499,20.17 
2:55:00 PM,0.5,18.40 ,20.501,20.15 
2:55:00 PM,0.6,18.45 ,20.503,20.20 
2:55:00 PM,0.7,18.42 ,20.505,20.19 
2:55:00 PM,0.8,18.48 ,20.508,20.25 
2:55:00 PM,0.9,18.44 ,20.511,20.20 
2:55:01 PM,1,18.51 ,20.514,20.27 
2:55:01 PM,1.1,18.51 ,20.517,20.27 
2:55:01 PM,1.2,18.58 ,20.52,20.32 
2:55:01 PM,1.3,18.54 ,20.521,20.28 
2:55:01 PM,1.4,18.51 ,20.522,20.25 
2:55:01 PM,1.5,18.50 ,20.522,20.22 
2:55:01 PM,1.6,18.54 ,20.523,20.24 
2:55:01 PM,1.7,18.58 ,20.524,20.27 
2:55:01 PM,1.8,18.61 ,20.525,20.30 
2:55:01 PM,1.9,18.60 ,20.527,20.28 
2:55:02 PM,2,18.57 ,20.528,20.26 
2:55:02 PM,2.1,18.56 ,20.53,20.24 
2:55:02 PM,2.2,18.61 ,20.531,20.27 
2:55:02 PM,2.3,18.65 ,20.53,20.31 
2:55:02 PM,2.4,18.63 ,20.528,20.27 
2:55:02 PM,2.5,18.69 ,20.527,20.31 
2:55:02 PM,2.6,18.66 ,20.525,20.28 
2:55:02 PM,2.7,18.66 ,20.524,20.28 
2:55:02 PM,2.8,18.71 ,20.526,20.32 
2:55:02 PM,2.9,18.74 ,20.528,20.32 
2:55:03 PM,3,18.77 ,20.531,20.36 
2:55:03 PM,3.1,18.83 ,20.533,20.41 
2:55:03 PM,3.2,18.80 ,20.535,20.37 
2:55:03 PM,3.3,18.78 ,20.534,20.33 
2:55:03 PM,3.4,18.78 ,20.534,20.34 
2:55:03 PM,3.5,18.79 ,20.533,20.34 
2:55:03 PM,3.6,18.82 ,20.532,20.35 
2:55:03 PM,3.7,18.79 ,20.531,20.32 
2:55:03 PM,3.8,18.80 ,20.534,20.32 
2:55:03 PM,3.9,18.81 ,20.536,20.33 
2:55:04 PM,4,18.80 ,20.538,20.32 
2:55:04 PM,4.1,18.82 ,20.54,20.33 
2:55:04 PM,4.2,18.90 ,20.543,20.41 
2:55:04 PM,4.3,18.85 ,20.545,20.35 
2:55:04 PM,4.4,18.92 ,20.547,20.41 
2:55:04 PM,4.5,18.91 ,20.549,20.40 
2:55:04 PM,4.6,18.90 ,20.551,20.38 
2:55:04 PM,4.7,18.91 ,20.554,20.39 
2:55:04 PM,4.8,18.94 ,20.553,20.38 
2:55:04 PM,4.9,18.94 ,20.552,20.39 
2:55:05 PM,5,18.95 ,20.552,20.39 
2:55:05 PM,5.1,18.96 ,20.551,20.39 
2:55:05 PM,5.2,18.95 ,20.55,20.39 
2:55:05 PM,5.3,18.97 ,20.552,20.39 
2:55:05 PM,5.4,19.00 ,20.553,20.40 
2:55:05 PM,5.5,19.00 ,20.555,20.41 
2:55:05 PM,5.6,19.05 ,20.556,20.42 
2:55:05 PM,5.7,19.05 ,20.557,20.42 
2:55:05 PM,5.8,19.10 ,20.558,20.45 
2:55:05 PM,5.9,19.05 ,20.558,20.41 
2:55:06 PM,6,19.13 ,20.558,20.48 
2:55:06 PM,6.1,19.11 ,20.558,20.45 
2:55:06 PM,6.2,19.18 ,20.558,20.50 
2:55:06 PM,6.3,19.15 ,20.559,20.48 
2:55:06 PM,6.4,19.12 ,20.561,20.44 
2:55:06 PM,6.5,19.13 ,20.562,20.44 
2:55:06 PM,6.6,19.17 ,20.564,20.45 
2:55:06 PM,6.7,19.12 ,20.565,20.42 
2:55:06 PM,6.8,19.18 ,20.567,20.45 
2:55:06 PM,6.9,19.19 ,20.569,20.46 
2:55:07 PM,7,19.19 ,20.572,20.47 
2:55:07 PM,7.1,19.22 ,20.574,20.47 
2:55:07 PM,7.2,19.22 ,20.576,20.48 
2:55:07 PM,7.3,19.19 ,20.576,20.43 
2:55:07 PM,7.4,19.23 ,20.576,20.46 
2:55:07 PM,7.5,19.21 ,20.576,20.44 
2:55:07 PM,7.6,19.30 ,20.576,20.52 
2:55:07 PM,7.7,19.37 ,20.576,20.58 
2:55:07 PM,7.8,19.37 ,20.575,20.58 
2:55:07 PM,7.9,19.34 ,20.573,20.55 
2:55:08 PM,8,19.34 ,20.572,20.54 
2:55:08 PM,8.1,19.36 ,20.57,20.54 
2:55:08 PM,8.2,19.39 ,20.569,20.56 
2:55:08 PM,8.3,19.36 ,20.571,20.52 
2:55:08 PM,8.4,19.36 ,20.573,20.53 
2:55:08 PM,8.5,19.40 ,20.576,20.55 
2:55:08 PM,8.6,19.43 ,20.578,20.57 
2:55:08 PM,8.7,19.42 ,20.58,20.57 
2:55:08 PM,8.8,19.43 ,20.582,20.57 
2:55:08 PM,8.9,19.41 ,20.585,20.54 
2:55:09 PM,9,19.45 ,20.587,20.55 
2:55:09 PM,9.1,19.46 ,20.589,20.56 
2:55:09 PM,9.2,19.45 ,20.591,20.55 
2:55:09 PM,9.3,19.45 ,20.592,20.55 
2:55:09 PM,9.4,19.46 ,20.593,20.55 
2:55:09 PM,9.5,19.46 ,20.594,20.55 
2:55:09 PM,9.6,19.52 ,20.594,20.58 
2:55:09 PM,9.7,19.52 ,20.595,20.58 
2:55:09 PM,9.8,19.53 ,20.595,20.59 
2:55:09 PM,9.9,19.56 ,20.595,20.60 
2:55:10 PM,10,19.54 ,20.595,20.58 
2:55:10 PM,10.1,19.60 ,20.595,20.62 
2:55:10 PM,10.2,19.58 ,20.595,20.60 
2:55:10 PM,10.3,19.61 ,20.597,20.63 
2:55:10 PM,10.4,19.59 ,20.598,20.60 
2:55:10 PM,10.5,19.58 ,20.6,20.59 
2:55:10 PM,10.6,19.65 ,20.601,20.65 
2:55:10 PM,10.7,19.67 ,20.603,20.66 
2:55:10 PM,10.8,19.67 ,20.603,20.66 
2:55:10 PM,10.9,19.69 ,20.603,20.67 
2:55:11 PM,11,19.69 ,20.603,20.65 
2:55:11 PM,11.1,19.73 ,20.603,20.68 
2:55:11 PM,11.2,19.68 ,20.603,20.63 
2:55:11 PM,11.3,19.65 ,20.603,20.60 
2:55:11 PM,11.4,19.64 ,20.604,20.58 
2:55:11 PM,11.5,19.67 ,20.605,20.60 
2:55:11 PM,11.6,19.71 ,20.606,20.64 
2:55:11 PM,11.7,19.70 ,20.606,20.63 
2:55:11 PM,11.8,19.67 ,20.608,20.60 
2:55:11 PM,11.9,19.70 ,20.609,20.63 
2:55:12 PM,12,19.74 ,20.611,20.65 
2:55:12 PM,12.1,19.72 ,20.613,20.63 
2:55:12 PM,12.2,19.72 ,20.614,20.62 
2:55:12 PM,12.3,19.71 ,20.614,20.62 
2:55:12 PM,12.4,19.81 ,20.614,20.71 
2:55:12 PM,12.5,19.80 ,20.614,20.68 
2:55:12 PM,12.6,19.79 ,20.614,20.68 
2:55:12 PM,12.7,19.81 ,20.614,20.68 
2:55:12 PM,12.8,19.80 ,20.614,20.67 
2:55:12 PM,12.9,19.79 ,20.614,20.65 
2:55:13 PM,13,19.78 ,20.614,20.63 
2:55:13 PM,13.1,19.77 ,20.614,20.62 
2:55:13 PM,13.2,19.79 ,20.614,20.63 
2:55:13 PM,13.3,19.80 ,20.613,20.65 
2:55:13 PM,13.4,19.86 ,20.613,20.70 
2:55:13 PM,13.5,19.86 ,20.612,20.70 
2:55:13 PM,13.6,19.81 ,20.611,20.67 
2:55:14 PM,13.7,19.89 ,20.61,20.72 
2:55:14 PM,13.8,19.84 ,20.611,20.66 
2:55:14 PM,13.9,19.82 ,20.612,20.64 
2:55:14 PM,14,19.81 ,20.613,20.63 
2:55:14 PM,14.1,19.86 ,20.614,20.67 
2:55:14 PM,14.2,19.81 ,20.614,20.62 
2:55:14 PM,14.3,19.82 ,20.616,20.62 
2:55:14 PM,14.4,19.82 ,20.617,20.60 
2:55:14 PM,14.5,19.84 ,20.619,20.62 
2:55:14 PM,14.6,19.87 ,20.62,20.62 
2:55:14 PM,14.7,19.84 ,20.622,20.60 
2:55:14 PM,14.8,19.88 ,20.623,20.65 
2:55:14 PM,14.9,19.93 ,20.623,20.66 
2:55:15 PM,15,19.92 ,20.624,20.67 
2:55:15 PM,15.1,19.95 ,20.625,20.68 
2:55:15 PM,15.2,19.94 ,20.626,20.66 
