Date,Time,Humidity,Temperature
08/09/2023,10:22:00 AM,71.6,21.2
08/09/2023,10:22:05 AM,71.6,21.2
08/09/2023,10:22:10 AM,71.6,21.2
08/09/2023,10:22:15 AM,71.5,21.25
08/09/2023,10:22:20 AM,71.5,21.25
08/09/2023,10:22:25 AM,71.5,21.25
08/09/2023,10:22:30 AM,71.4,21.25
08/09/2023,10:22:35 AM,71.4,21.25
08/09/2023,10:22:40 AM,71.4,21.3
08/09/2023,10:22:45 AM,71.4,21.3
08/09/2023,10:22:50 AM,71.3,21.3
08/09/2023,10:22:55 AM,71.3,21.3
08/09/2023,10:23:00 AM,71.3,21.3
08/09/2023,10:23:05 AM,71.2,21.3
08/09/2023,10:23:10 AM,71.2,21.35
08/09/2023,10:23:15 AM,71.2,21.35
08/09/2023,10:23:20 AM,71.1,21.35
08/09/2023,10:23:25 AM,71.1,21.35
08/09/2023,10:23:30 AM,71.1,21.35
08/09/2023,10:23:35 AM,71.1,21.4
08/09/2023,10:23:40 AM,71.1,21.35
08/09/2023,10:23:45 AM,71.1,21.35
08/09/2023,10:23:50 AM,71.1,21.4
08/09/2023,10:23:55 AM,71,21.4
08/09/2023,10:24:00 AM,71,21.4
08/09/2023,10:24:05 AM,71,21.4
08/09/2023,10:24:10 AM,71,21.4
08/09/2023,10:24:15 AM,70.9,21.4
08/09/2023,10:24:20 AM,70.9,21.4
08/09/2023,10:24:25 AM,70.9,21.4
08/09/2023,10:24:30 AM,70.9,21.45
08/09/2023,10:24:35 AM,70.8,21.45
08/09/2023,10:24:40 AM,70.9,21.45
08/09/2023,10:24:45 AM,70.9,21.45
08/09/2023,10:24:50 AM,70.8,21.45
08/09/2023,10:24:55 AM,70.8,21.45
08/09/2023,10:25:00 AM,70.8,21.45
08/09/2023,10:25:05 AM,70.8,21.45
08/09/2023,10:25:10 AM,70.8,21.45
08/09/2023,10:25:15 AM,70.8,21.45
08/09/2023,10:25:20 AM,70.7,21.45
08/09/2023,10:25:25 AM,70.7,21.45
08/09/2023,10:25:30 AM,70.7,21.5
08/09/2023,10:25:35 AM,70.8,21.5
08/09/2023,10:25:40 AM,70.8,21.5
08/09/2023,10:25:45 AM,70.7,21.5
08/09/2023,10:25:50 AM,70.7,21.5
08/09/2023,10:25:55 AM,70.6,21.5
08/09/2023,10:26:00 AM,70.6,21.5
08/09/2023,10:26:05 AM,70.6,21.5
08/09/2023,10:26:10 AM,70.6,21.5
08/09/2023,10:26:15 AM,70.7,21.5
08/09/2023,10:26:20 AM,70.6,21.5
08/09/2023,10:26:25 AM,70.6,21.5
08/09/2023,10:26:30 AM,70.6,21.55
08/09/2023,10:26:35 AM,70.5,21.55
08/09/2023,10:26:40 AM,70.5,21.5
08/09/2023,10:26:45 AM,70.5,21.55
08/09/2023,10:26:50 AM,70.5,21.55
08/09/2023,10:26:55 AM,70.5,21.55
08/09/2023,10:27:00 AM,70.4,21.55
